year,hand.weed,plow,cover.crop,herb,trt,block,plot,pa.acre,yield
1,Yes,Yes,No,L,1,1,101,8097.165992,1311.633028
1,Yes,Yes,No,X,2,1,102,4048.582996,1309.504587
1,Yes,Yes,Yes,L,3,1,103,4048.582996,1586.055046
1,Yes,Yes,Yes,X,4,1,104,4048.582996,1460.550459
1,Yes,No,No,L,5,1,105,20242.91498,1652.110092
1,Yes,No,No,X,6,1,106,12145.74899,1587.59633
1,Yes,No,Yes,L,7,1,107,89068.82591,1727.926606
1,Yes,No,Yes,X,8,1,108,40485.82996,1548.917431
1,No,Yes,No,L,9,1,109,4048.582996,1328.146789
1,No,Yes,No,X,10,1,110,4048.582996,1426.201835
1,No,Yes,Yes,L,11,1,111,0,1658.642202
1,No,Yes,Yes,X,12,1,112,20242.91498,1591.559633
1,No,No,No,L,13,1,113,198380.5668,1608.220183
1,No,No,No,X,14,1,114,161943.3198,1572.697248
1,No,No,Yes,L,15,1,115,133603.2389,1658.055046
1,No,No,Yes,X,16,1,116,68825.91093,1675.082569
1,Yes,Yes,No,L,1,2,201,24291.49798,1385.027523
1,Yes,Yes,No,X,2,2,202,8097.165992,1179.155963
1,Yes,Yes,Yes,L,3,2,203,4048.582996,1632.220183
1,Yes,Yes,Yes,X,4,2,204,8097.165992,1397.431193
1,Yes,No,No,L,5,2,205,85020.24291,1674.642202
1,Yes,No,No,X,6,2,206,32388.66397,1584.733945
1,Yes,No,Yes,L,7,2,207,60728.74494,1769.541284
1,Yes,No,Yes,X,8,2,208,48582.99595,1497.688073
1,No,Yes,No,L,9,2,209,4048.582996,1457.321101
1,No,Yes,No,X,10,2,210,8097.165992,1353.908257
1,No,Yes,Yes,L,11,2,211,0,1657.321101
1,No,Yes,Yes,X,12,2,212,36437.24696,1453.357798
1,No,No,No,L,13,2,213,80971.65992,1599.045872
1,No,No,No,X,14,2,214,93117.40891,1579.009174
1,No,No,Yes,L,15,2,215,121457.4899,1697.174312
1,No,No,Yes,X,16,2,216,56680.16194,1664.073394
1,Yes,No,No,L,5,3,301,214574.8988,1689.46789
1,Yes,No,No,X,6,3,302,174089.0688,1473.541284
1,Yes,No,Yes,L,7,3,303,287449.3927,1678.752294
1,Yes,No,Yes,X,8,3,304,481781.3765,1540.697248
1,Yes,Yes,Yes,L,3,3,305,56680.16194,1520.293578
1,Yes,Yes,Yes,X,4,3,306,109311.7409,1434.495413
1,Yes,Yes,No,L,1,3,307,109311.7409,1472.293578
1,Yes,Yes,No,X,2,3,308,40485.82996,1228.036697
1,No,Yes,Yes,L,11,3,309,89068.82591,1464
1,No,Yes,Yes,X,12,3,310,28340.08097,1452.697248
1,No,Yes,No,L,9,3,311,16194.33198,1672.073394
1,No,Yes,No,X,10,3,312,32388.66397,1632.220183
1,No,No,Yes,L,15,3,313,28340.08097,1338.275229
1,No,No,Yes,X,16,3,314,182186.2348,1301.284404
1,No,No,No,X,14,3,315,113360.3239,1230.165138
1,No,No,No,L,13,3,316,68825.91093,1365.211009
1,Yes,No,No,L,5,4,401,105263.1579,1582.752294
1,Yes,No,No,X,6,4,402,80971.65992,1475.889908
1,Yes,No,Yes,L,7,4,403,72874.49393,1587.889908
1,Yes,No,Yes,X,8,4,404,85020.24291,1550.678899
1,Yes,Yes,Yes,L,3,4,405,32388.66397,1560.587156
1,Yes,Yes,Yes,X,4,4,406,80971.65992,1385.981651
1,Yes,Yes,No,L,1,4,407,20242.91498,1490.201835
1,Yes,Yes,No,X,2,4,408,8097.165992,1182.018349
1,No,Yes,Yes,L,11,4,409,28340.08097,1518.311927
1,No,Yes,Yes,X,12,4,410,4048.582996,1483.082569
1,No,Yes,No,L,9,4,411,0,1640.146789
1,No,Yes,No,X,10,4,412,24291.49798,1653.724771
1,No,No,Yes,L,15,4,413,0,1304.733945
1,No,No,Yes,X,16,4,414,72874.49393,1246.605505
1,No,No,No,X,14,4,415,109311.7409,1235.449541
1,No,No,No,L,13,4,416,24291.49798,1417.321101
2,Yes,Yes,No,L,1,1,101,31376.51822,880.8735354
2,Yes,Yes,No,X,2,1,102,7085.020243,816.7996039
2,Yes,Yes,Yes,L,3,1,103,18218.62348,815.9414709
2,Yes,Yes,Yes,X,4,1,104,97165.9919,1092.546345
2,Yes,No,No,L,5,1,105,46558.70445,1195.379284
2,Yes,No,No,X,6,1,106,49595.1417,1028.186369
2,Yes,No,Yes,L,7,1,107,34412.95547,837.1087519
2,Yes,No,Yes,X,8,1,108,112348.1781,1247.010287
2,No,Yes,No,L,9,1,109,58704.45344,892.8873975
2,No,Yes,No,X,10,1,110,43522.26721,1020.177127
2,No,Yes,Yes,L,11,1,111,48582.99595,1235.711535
2,No,Yes,Yes,X,12,1,112,98178.13765,1186.797954
2,No,No,No,L,13,1,113,55668.01619,1319.522526
2,No,No,No,X,14,1,114,35425.10121,1507.882722
2,No,No,Yes,L,15,1,115,63765.18219,1248.154464
2,No,No,Yes,X,16,1,116,127530.3644,1689.520876
2,Yes,Yes,No,L,1,2,201,0,892.6013532
2,Yes,Yes,No,X,2,2,202,8097.165992,600.1210188
2,Yes,Yes,Yes,L,3,2,203,3036.437247,983.5634523
2,Yes,Yes,Yes,X,4,2,204,38461.53846,1105.132296
2,Yes,No,No,L,5,2,205,47570.8502,1037.911876
2,Yes,No,No,X,6,2,206,17206.47773,1073.810441
2,Yes,No,Yes,L,7,2,207,6072.874494,945.3765334
2,Yes,No,Yes,X,8,2,208,45546.5587,1260.740415
2,No,Yes,No,L,9,2,209,24291.49798,836.6796854
2,No,Yes,No,X,10,2,210,13157.89474,1007.019088
2,No,Yes,Yes,L,11,2,211,4048.582996,1362.572199
2,No,Yes,Yes,X,12,2,212,20242.91498,1113.427581
2,No,No,No,L,13,2,213,16194.33198,1311.370262
2,No,No,No,X,14,2,214,12145.74899,1498.014192
2,No,No,Yes,L,15,2,215,2024.291498,1521.183783
2,No,No,Yes,X,16,2,216,32388.66397,1680.653501
2,Yes,No,No,L,5,3,301,30364.37247,847.1203036
2,Yes,No,No,X,6,3,302,79959.51417,1156.048187
2,Yes,No,Yes,L,7,3,303,0,1039.628142
2,Yes,No,Yes,X,8,3,304,53643.7247,1496.870015
2,Yes,Yes,Yes,L,3,3,305,6072.874494,1825.534958
2,Yes,Yes,Yes,X,4,3,306,43522.26721,1263.171792
2,Yes,Yes,No,L,1,3,307,6072.874494,668.1995709
2,Yes,Yes,No,X,2,3,308,3036.437247,1176.786402
2,No,Yes,Yes,L,11,3,309,6072.874494,1337.257275
2,No,Yes,Yes,X,12,3,310,15182.18623,1650.90489
2,No,Yes,No,L,9,3,311,94129.55466,1204.961769
2,No,Yes,No,X,10,3,312,145748.9879,1435.084438
2,No,No,Yes,L,15,3,313,15182.18623,1399.042852
2,No,No,Yes,X,16,3,314,17206.47773,1565.377634
2,No,No,No,X,14,3,315,123481.7814,1241.575444
2,No,No,No,L,13,3,316,100202.4291,1262.456681
2,Yes,No,No,L,5,4,401,24291.49798,1247.725397
2,Yes,No,No,X,6,4,402,32388.66397,1465.405138
2,Yes,No,Yes,L,7,4,403,5060.728745,1695.241762
2,Yes,No,Yes,X,8,4,404,27327.93522,1654.051378
2,Yes,Yes,Yes,L,3,4,405,8097.165992,1700.104516
2,Yes,Yes,Yes,X,4,4,406,17206.47773,1050.783872
2,Yes,Yes,No,L,1,4,407,1012.145749,1079.817372
2,Yes,Yes,No,X,2,4,408,8097.165992,929.787117
2,No,Yes,Yes,L,11,4,409,3036.437247,1369.437263
2,No,Yes,Yes,X,12,4,410,17206.47773,1645.040981
2,No,Yes,No,L,9,4,411,15182.18623,1425.072886
2,No,Yes,No,X,10,4,412,9109.311741,1678.079102
2,No,No,Yes,L,15,4,413,6072.874494,1474.987623
2,No,No,Yes,X,16,4,414,72874.49393,1752.021563
2,No,No,No,X,14,4,415,24291.49798,1597.843666
2,No,No,No,L,13,4,416,38461.53846,1669.497772
